index,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,country,introelapse,testelapse,surveyelapse,TIPI1,TIPI2,TIPI3,TIPI4,TIPI5,TIPI6,TIPI7,TIPI8,TIPI9,TIPI10,VCL1,VCL2,VCL3,VCL4,VCL5,VCL6,VCL7,VCL8,VCL9,VCL10,VCL11,VCL12,VCL13,VCL14,VCL15,VCL16,education,urban,gender,engnat,age,hand,religion,orientation,voted,married,familysize,ASD,nerdiness
0,1.0,5.0,5.0,5.0,1.0,4.0,5.0,5.0,1.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,1.0,5.0,1.0,5.0,1.0,1.0,USA,3,553,6,4.0,3.0,5.0,1.0,3.0,5.0,5.0,3.0,5.0,3.0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,2.0,1,3.0,1.0,20,2.0,12.0,4.0,2.0,1.0,4.0,2.0,1
1,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,1.0,4.0,5.0,3.0,1.0,2.0,4.0,5.0,1.0,3.0,1.0,1.0,5.0,3.0,2.0,5.0,USA,5,85,120,4.0,2.0,3.0,5.0,3.0,2.0,5.0,1.0,2.0,2.0,1,1,1,1,1,0,1,0,0,1,0,0,1,1,1,1,4.0,2,2.0,1.0,49,1.0,2.0,1.0,1.0,2.0,4.0,2.0,1
2,4.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,4.0,4.0,2.0,5.0,5.0,5.0,1.0,3.0,5.0,3.0,5.0,2.0,2.0,1.0,2.0,4.0,2.0,5.0,NLD,9,108,100,1.0,2.0,3.0,1.0,5.0,5.0,3.0,4.0,5.0,2.0,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1,1,2.0,1,1.0,2.0,43,1.0,2.0,2.0,2.0,3.0,4.0,2.0,1
3,4.0,4.0,4.0,2.0,4.0,3.0,3.0,5.0,3.0,4.0,5.0,2.0,2.0,4.0,4.0,2.0,4.0,5.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0,USA,2,121,139,3.0,3.0,3.0,4.0,5.0,3.0,4.0,4.0,3.0,3.0,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,1.0,3,1.0,1.0,17,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1
4,4.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0,4.0,3.0,5.0,5.0,2.0,4.0,1.0,4.0,2.0,4.0,2.0,3.0,4.0,4.0,4.0,ITA,3,640,216,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1,1.0,2,2.0,2.0,18,2.0,12.0,1.0,2.0,1.0,1.0,2.0,0
5,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,5.0,2.0,3.0,4.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,3.0,5.0,3.0,5.0,USA,3,100,176,5.0,3.0,3.0,3.0,5.0,2.0,4.0,5.0,3.0,1.0,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,3.0,2,1.0,1.0,26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
6,4.0,3.0,4.0,3.0,5.0,4.0,5.0,4.0,5.0,5.0,3.0,5.0,5.0,3.0,3.0,3.0,5.0,5.0,3.0,4.0,4.0,3.0,5.0,5.0,3.0,5.0,USA,17,88,164,3.0,2.0,5.0,3.0,4.0,3.0,3.0,2.0,3.0,2.0,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,4.0,3,2.0,2.0,40,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1
7,4.0,5.0,4.0,4.0,4.0,4.0,2.0,5.0,3.0,4.0,2.0,2.0,3.0,3.0,5.0,2.0,4.0,5.0,2.0,3.0,5.0,3.0,5.0,5.0,1.0,4.0,NLD,20,53,112,3.0,2.0,5.0,5.0,3.0,3.0,3.0,2.0,2.0,2.0,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,1,3.0,1,2.0,2.0,34,1.0,2.0,5.0,1.0,1.0,2.0,2.0,1
8,4.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,2.0,4.0,1.0,3.0,1.0,2.0,5.0,3.0,1.0,4.0,USA,9,164,213,3.0,1.0,4.0,3.0,4.0,3.0,4.0,1.0,3.0,3.0,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,2.0,2,2.0,1.0,20,1.0,7.0,1.0,1.0,1.0,3.0,2.0,0
9,3.0,3.0,4.0,3.0,4.0,2.0,4.0,2.0,4.0,4.0,5.0,4.0,1.0,4.0,2.0,5.0,4.0,4.0,5.0,3.0,1.0,1.0,2.0,4.0,4.0,2.0,ARE,109,134,177,2.0,2.0,5.0,3.0,3.0,4.0,4.0,2.0,4.0,4.0,1,1,0,1,1,0,0,0,0,1,0,0,1,1,1,1,2.0,2,1.0,2.0,17,1.0,10.0,1.0,2.0,1.0,5.0,2.0,0
